अँग्रेज़	ãgrēza
गठजोड़	gaṭhajōṛa
गठन	gaṭhana
गठबंधन	gaṭhabandhana
गठित	gaṭhita
गड़गड़ाहट	gaṛagaṛāhaṭa
गड्डमड्ड	gaḍḍamaḍḍa
गड़बड़	gaṛabaṛa
गड़बड़ाती	gaṛabaṛātī
गड़बड़ियाँ	gaṛabaṛiyā̃
गड़बड़ियों	gaṛabaṛiyō̃
गड़बड़ी	gaṛabaṛī
गड़ाई	gaṛāī
गढ़	gaṛha
गढ़ते	gaṛhatē
गणतंत्र	gaṇatantra
गणना	gaṇanā
गणमान्य	gaṇamānya
गणराज्य	gaṇarājya
गणात्रा	gaṇātrā
गणित	gaṇita
गणितीय	gaṇitīya
गणेश	gaṇēśa
गत	gata
गति	gati
गतिरोध	gatirōdha
गतिविधियाँ	gatividhiyā̃
गतिविधियों	gatividhiyō̃
गतिशील	gatiśīla
गदगद	gadagada
ग़द्दाफ़ी	ġddāfī
गद्दी	gaddī
गद्दे	gaddē
गदराई	gadarāī
गदराए	gadarāē
गदराया	gadarāyā
गन	gana
गनों	ganō̃
गफ़	gafa
गब्बर	gabbara
ग़म	ġma
गया	gayā
ग्यारह	gyāraha
गयी	gayī
गये	gayē
गर्ग	garga
ग्रज	graja
गर्त	garta
गर्दिश	gardiśa
गर्नी	garnī
गर्भ	garbha
गर्भपात	garbhapāta
गर्भवती	garbhavatī
गरम	garama
गर्म	garma
गर्मजोशी	garmajōśī
गरमा	garamā
गर्मागर्म	garmāgarma
गरमाया	garamāyā
गर्माहट	garmāhaṭa
गर्मियों	garmiyō̃
गर्मी	garmī
गर्ल	garla
गर्लफ़्रेंड	garlafrēṇḍa
गर्लफ्रैंड	garlaphraiṇḍa
गर्लफ़्रैंड	garlafraiṇḍa
गर्ल्स	garlsa
गर्व	garva
ग्रस्त	grasta
ग्रसित	grasita
ग्रह	graha
ग्रहण	grahaṇa
ग्रहों	grahō̃
ग्रांडे	grāṇḍē
ग्राउंड	grāuṇḍa
ग्राफ़	grāfa
ग्राफिक	grāphika
ग्राफ़िक	grāfika
ग्रामीण	grāmīṇa
ग्रामोफ़ोन	grāmōfōna
ग्रास	grāsa
ग्राहक	grāhaka
ग्राहकों	grāhakō̃
ग्राहम	grāhama
ग्रिम	grima
गरिमा	garimā
गरियाना	gariyānā
ग्रीक	grīka
ग्रीन	grīna
ग्रीनहाउस	grīnahāusa
ग्रीनिचमान	grīnicamāna
ग्रीफिन	grīphina
ग़रीब	ġrība
गरीबी	garībī
ग़रीबी	ġrībī
ग़रीबों	ġrībō̃
गरीश	garīśa
ग्रीस	grīsa
ग्रुप	grupa
ग्रुपों	grupō̃
ग्रे	grē
ग्रेग	grēga
ग्रेगरी	grēgarī
ग्रेजुएशन	grējuēśana
ग्रेट	grēṭa
ग्रेडिंग	grēḍinga
ग़रेब	ġrēba
ग्रेशस	grēśasa
ग्रेशियस	grēśiyasa
ग्रेसी	grēsī
ग्रैंड	graiṇḍa
ग्रैगरी	graigarī
ग्रैच्युटी	graicyuṭī
ग्रैजुएट	graijuēṭa
ग्रैविटी	graiviṭī
ग्रैवीनी	graivīnī
ग्रोज़ां	grōzā̃
गलत	galata
ग़लत	ġlata
ग़लतफ़हमियाँ	ġlatafahamiyā̃
ग़लतफहमी	ġlataphahamī
ग़लतफ़हमी	ġlatafahamī
ग़लतियाँ	ġlatiyā̃
ग़ल्तियाँ	ġltiyā̃
ग़लतियों	ġlatiyō̃
ग़लती	ġlatī
ग्लव्स	glavsa
गला	galā
गलियाँ	galiyā̃
गलियारा	galiyārā
गलियारे	galiyārē
गलियारों	galiyārō̃
गलियों	galiyō̃
ग्लूकोज	glūkōja
गले	galē
ग्लेन	glēna
ग्लैक्सोस्मिथक्लाइन	glaiksōsmithaklāina
ग्लैमर	glaimara
ग्लैमरविहीन	glaimaravihīna
ग्लोब	glōba
ग्लोबल	glōbala
ग्लोबल्स	glōbalsa
ग्लोबस्कैन	glōbaskaina
ग्लोबस्टार	glōbasṭāra
गलौज	galauja
गवर्नर	gavarnara
ग्वांतानामो	gvāntānāmō
ग्वाटेमाला	gvāṭēmālā
गवारा	gavārā
ग्वालियर	gvāliyara
गवाह	gavāha
गवाही	gavāhī
गवाहों	gavāhō̃
गश्त	gaśta
गशव	gaśava
गहन	gahana
गहने	gahanē
गहमागहमी	gahamāgahamī
गहरा	gaharā
गहराई	gaharāī
गहराता	gaharātā
गहरी	gaharī
गहरे	gaharē
गा	gā
गाँधी	gā̃dhī
गाँधीजी	gā̃dhījī
गाँधीवाद	gā̃dhīvāda
गाँधीवादी	gā̃dhīvādī
गाँव	gā̃va
गाँववालों	gā̃vavālō̃
गाँववासी	gā̃vavāsī
गाँवों	gā̃vō̃
गांगजी	gāngajī
गांगुली	gāngulī
गांधी	gāndhī
गांव	gā̃va
गाइड	gāiḍa
गाउल्ड्स	gāulḍsa
गाए	gāē
गाएँगे	gāē̃gē
गाएंगी	gāēngī
गाकर	gākara
गाज़ियाबाद	gāziyābāda
ग़ाज़ियाबाद	ġāziyābāda
ग़ाज़ी	ġāzī
गाजीपुर	gājīpura
ग़ाज़ीपुर	ġāzīpura
गाड़	gāṛa
गाड़ियाँ	gāṛiyā̃
गाड़ियों	gāṛiyō̃
गाड़ी	gāṛī
गाढ़ी	gāṛhī
गाती	gātī
गाते	gātē
गाथा	gāthā
गाना	gānā
गाने	gānē
गानें	gānē̃
गानों	gānō̃
गाय	gāya
गायक	gāyaka
गायकी	gāyakī
गायकों	gāyakō̃
गायन	gāyana
गायनीकोलॉजिस्ट	gāyanīkōlôjisṭa
गायनोकॉलोजिस्ट	gāyanōkôlōjisṭa
ग़ायब	ġāyaba
गाया	gāyā
गायिका	gāyikā
गारंटी	gāraṇṭī
गार्जियन	gārjiyana
गार्ड	gārḍa
गार्डों	gārḍō̃
गार्सिया	gārsiyā
गाल	gāla
गाली	gālī
गावसकर	gāvasakara
गावस्कर	gāvaskara
गावसर	gāvasara
गावों	gāvō̃
गाहे	gāhē
गिगुइमडे	giguimaḍē
गिटार	giṭāra
गिटारिस्ट	giṭārisṭa
गिनकर	ginakara
गिनता	ginatā
गिनती	ginatī
गिनने	ginanē
गिना	ginā
गिनाईं	gināī̃
गिनाए	gināē
गिनाने	ginānē
गिनी	ginī
गिनीचुनी	ginīcunī
गिने	ginē
गिब्बन	gibbana
गिब्स	gibsa
गियोर्गी	giyōrgī
गिर	gira
गिरकर	girakara
गिरगिट	giragiṭa
गिरजाघर	girajāghara
गिरती	giratī
गिरते	giratē
गिर्द	girda
गिरधर	giradhara
गिरने	giranē
गिरफ़्त	girafta
गिरफ्तार	giraphtāra
गिरफ़्तार	giraftāra
ग़िरफ़्तार	ġiraftāra
गिरफ्तारी	giraphtārī
गिरफ़्तारी	giraftārī
ग़िरफ़्तारी	ġiraftārī
गिरा	girā
गिराई	girāī
गिराता	girātā
गिराने	girānē
गिरामी	girāmī
गिराया	girāyā
गिरावट	girāvaṭa
गिरि	giri
गिरी	girī
गिरे	girē
गिरोह	girōha
गिरोहों	girōhō̃
गिल	gila
गिलक्रिस्ट	gilakrisṭa
गिल्क्रिस्ट	gilkrisṭa
गिलगित	gilagita
गिल्ड	gilḍa
गिलिगन	giligana
गिले	gilē
गिलेर्मो	gilērmō
गी	gī
गीत	gīta
गीता	gītā
गीतों	gītō̃
गीला	gīlā
गुंजाईश	guñjāīśa
गुंडप्पा	guṇḍappā
गुंडा	guṇḍā
ग़ुंडा	ġuṇḍā
गुंडे	guṇḍē
गुज़र	guzara
ग़ुज़र	ġuzara
गुजरता	gujaratā
गुजरती	gujaratī
गुज़रती	guzaratī
गुजरना	gujaranā
गुज़रना	guzaranā
गुज़रनी	guzaranī
गुजरने	gujaranē
गुज़रने	guzaranē
गुजरा	gujarā
गुज़रा	guzarā
गुजरात	gujarāta
गुजराल	gujarāla
गुज़री	guzarī
गुज़रे	guzarē
गुजरेगा	gujarēgā
गुजार	gujāra
गुज़ार	guzāra
गुजारत	gujārata
गुज़ारते	guzāratē
गुजारना	gujāranā
गुज़ारना	guzāranā
गुजारनी	gujāranī
गुज़ारने	guzāranē
गुजारा	gujārā
गुज़ारिश	guzāriśa
गुजारी	gujārī
गुज़ारी	guzārī
गुट	guṭa
गुटबाज़ी	guṭabāzī
गुटों	guṭō̃
गुड़गाँव	guṛagā̃va
गुड्डु	guḍḍu
गुड्डू	guḍḍū
गुड्डो	guḍḍō
गुडनेस	guḍanēsa
गुड़िया	guṛiyā
गुडो	guḍō
गुण	guṇa
गुणगान	guṇagāna
गुणतिलके	guṇatilakē
गुणतिलिके	guṇatilikē
गुणरत्ने	guṇaratnē
गुणों	guṇō̃
गुत्थी	gutthī
गुनगुनाए	gunagunāē
गुनगुनाएँगे	gunagunāē̃gē
गुना	gunā
गुनाह	gunāha
गुनाहों	gunāhō̃
गुनी	gunī
गुपचुप	gupacupa
गुप्त	gupta
गुप्तचर	guptacara
गुप्तचरी	guptacarī
गुप्ता	guptā
गुबार	gubāra
गुमनाम	gumanāma
गुमराह	gumarāha
गुमला	gumalā
गुरंग	guranga
गुरपाल	gurapāla
गुरबख़्श	gurabaḵẖśa
गुरमीत	guramīta
गुरिंदर	gurindara
गुरिल्ला	gurillā
गुरु	guru
गुरुंग	gurunga
गुरुओं	guruō̃
गुरुकुल	gurukula
गुरुकुलों	gurukulō̃
गुरुत्वाकर्षण	gurutvākarṣaṇa
गुरुद्वारा	gurudvārā
गुरुद्वारे	gurudvārē
गुरुवार	guruvāra
गुरू	gurū
गुरूँग	gurū̃ga
गुरूओं	gurūō̃
गुरूजी	gurūjī
गुरूद्वारा	gurūdvārā
गुरूदेव	gurūdēva
गुरूवार	gurūvāra
गुलदस्ते	guladastē
गुलदस्तों	guladastō̃
गुलबहारी	gulabahārī
गुलशन	gulaśana
गुलाटी	gulāṭī
गुलाब	gulāba
गुलाबी	gulābī
ग़ुलाम	ġulāma
गुलाल	gulāla
गुलिस्ताँ	gulistā̃
गुलीवर	gulīvara
गुलु	gulu
गुश	guśa
गुस्सा	gussā
ग़ुस्सा	ġussā
गुस्से	gussē
ग़ुस्से	ġussē
गुसाईं	gusāī̃
गुहा	guhā
गुहार	guhāra
गूँज	gū̃ja
गूँजने	gū̃janē
गूँजी	gū̃jī
गूँजे	gū̃jē
गूंजता	gūñjatā
गूगल	gūgala
गृह	gṛha
गृहमंत्रालय	gṛhamantrālaya
गृहिणी	gṛhiṇī
गृहों	gṛhō̃
गेंद	gēnda
गेंदबाज़	gēndabāza
गेंदबाज़ी	gēndabāzī
गेंदबाज़ों	gēndabāzō̃
गेंदों	gēndō̃
गेट	gēṭa
गेटवे	gēṭavē
गेट्स	gēṭsa
गेम	gēma
गेयल	gēyala
गेरासिमेन्को	gērāsimēnkō
गेल	gēla
गेलर	gēlara
गेस्ट	gēsṭa
गेस्टहाउस	gēsṭahāusa
गैंग	gainga
गैटलिन	gaiṭalina
गैर	gaira
ग़ैर	ġaira
ग़ैरक़ानून	ġairaqānūna
ग़ैरक़ानूनी	ġairaqānūnī
ग़ैरमुल्कों	ġairamulkō̃
ग़ैरसरकारी	ġairasarakārī
गैरी	gairī
गैरीग्यूज	gairīgyūja
गैलरी	gailarī
गैलाक्टिक	gailākṭika
गैस	gaisa
गैसकांड	gaisakāṇḍa
गैसें	gaisē̃
गैसों	gaisō̃
गॉंग	gônga
गॉग	gôga
गॉटकिन	gôṭakina
गॉटमैन	gôṭamaina
गॉड	gôḍa
गॉय	gôya
गॉर्ड	gôrḍa
गॉल	gôla
गॉव	gôva
गो	gō
गोंज़ालेज़	gō̃zālēza
गोंडा	gōṇḍā
गोआ	gōā
गोउल्डर	gōulḍara
गोगो	gōgō
गोगोई	gōgōī
गोताखोर	gōtākhōra
गोताखोरों	gōtākhōrō̃
गोतोह	gōtōha
गोद	gōda
गोदाम	gōdāma
गोदामों	gōdāmō̃
गोधरा	gōdharā
गोपनीय	gōpanīya
गोपनीयता	gōpanīyatā
गोपाल	gōpāla
गोपालकृष्णन	gōpālakṛṣṇana
गोपालगंज	gōpālagañja
गोपालपुरी	gōpālapurī
गोपीनाथ	gōpīnātha
गोयल	gōyala
गोर	gōra
गोरखपुर	gōrakhapura
गोरखा	gōrakhā
गोर्वुनोफ़	gōrvunōfa
गोरा	gōrā
गोराडिया	gōrāḍiyā
गोरिल्ला	gōrillā
गोरे	gōrē
गोल	gōla
गोलंदाज़ों	gōlandāzō̃
गोलकीपर	gōlakīpara
गोल्डन	gōlḍana
गोल्डस्मिथ	gōlḍasmitha
गोलपोस्ट	gōlapōsṭa
गोलाकार	gōlākāra
गोलाबारी	gōlābārī
गोलियां	gōliyā̃
गोलियाथ	gōliyātha
गोलियों	gōliyō̃
गोली	gōlī
गोलीबारी	gōlībārī
गोले	gōlē
गोलों	gōlō̃
गोवा	gōvā
गोवारिकर	gōvārikara
गोविंद	gōvinda
गोविंदा	gōvindā
गोवी	gōvī
गोष्ठी	gōṣṭhī
गौतम	gautama
ग़ौर	ġaura
ग़ौरतलब	ġauratalaba
गौरव	gaurava
गौरवान्वित	gauravānvita
गौरी	gaurī
घंटा	ghaṇṭā
घंटियो	ghaṇṭiyō
घंटी	ghaṇṭī
घंटे	ghaṇṭē
घंटो	ghaṇṭō
घंटों	ghaṇṭō̃
घई	ghaī
घट	ghaṭa
घटक	ghaṭaka
घटकर	ghaṭakara
घट्टाकोलू	ghaṭṭākōlū
घटता	ghaṭatā
घटती	ghaṭatī
घटते	ghaṭatē
घटना	ghaṭanā
घटनाएँ	ghaṭanāē̃
घटनाओं	ghaṭanāō̃
घटनाक्रम	ghaṭanākrama
घटनाक्रमों	ghaṭanākramō̃
घटनाचक्र	ghaṭanācakra
घटनास्थल	ghaṭanāsthala
घटने	ghaṭanē
घटा	ghaṭā
घटाई	ghaṭāī
घटाए	ghaṭāē
घटाकर	ghaṭākara
घटाने	ghaṭānē
घटाया	ghaṭāyā
घटिया	ghaṭiyā
घटी	ghaṭī
घटीं	ghaṭī̃
घटेगा	ghaṭēgā
घटेगी	ghaṭēgī
घड़ियाल	ghaṛiyāla
घड़ी	ghaṛī
घड़े	ghaṛē
घनटाएँ	ghanaṭāē̃
घनश्याम	ghanaśyāma
घने	ghanē
घबरा	ghabarā
घबराकर	ghabarākara
घबराती	ghabarātī
घबराया	ghabarāyā
घबराहट	ghabarāhaṭa
घमंड	ghamaṇḍa
घमंडी	ghamaṇḍī
घमासान	ghamāsāna
घर	ghara
घरवाले	gharavālē
घरवालों	gharavālō̃
घराने	gharānē
घरेलू	gharēlū
घरों	gharō̃
घसीटा	ghasīṭā
घाट	ghāṭa
घाटगे	ghāṭagē
घाटल	ghāṭala
घाटी	ghāṭī
घाटे	ghāṭē
घात	ghāta
घातक	ghātaka
घायल	ghāyala
घायलों	ghāyalō̃
घास	ghāsa
घिन	ghina
घिमिरे	ghimirē
घिर	ghira
घिरा	ghirā
घिरी	ghirī
घिरे	ghirē
घी	ghī
घुट्टी	ghuṭṭī
घुटना	ghuṭanā
घुमाने	ghumānē
घुमाव	ghumāva
घुलते	ghulatē
घुस	ghusa
घुसते	ghusatē
घुसना	ghusanā
घुसने	ghusanē
घुसपैठ	ghusapaiṭha
घुसी	ghusī
घुसेड़ते	ghusēṛatē
घूंसे	ghū̃sē
घूम	ghūma
घूमता	ghūmatā
घूमती	ghūmatī
घूमते	ghūmatē
घूमना	ghūmanā
घूमने	ghūmanē
घूमा	ghūmā
घूर्णन	ghūrṇana
घृणा	ghṛṇā
घेर	ghēra
घेरने	ghēranē
घेरा	ghērā
घेराबंदी	ghērābandī
घेरे	ghērē
घोटाला	ghōṭālā
घोड़ा	ghōṛā
घोड़े	ghōṛē
घोड़ों	ghōṛō̃
घोबादी	ghōbādī
घोल	ghōla
घोष	ghōṣa
घोषणा	ghōṣaṇā
घोषणाएँ	ghōṣaṇāē̃
घोषणाओं	ghōṣaṇāō̃
घोषणापत्र	ghōṣaṇāpatra
घोषित	ghōṣita
ङर	ṅara
चंगुल	cangula
चंडी	caṇḍī
चंडीगढ़	caṇḍīgaṛha
चंद	canda
चंदन	candana
चंदर	candara
चंद्र	candra
चंद्रकांत	candrakānta
चंद्रन	candrana
चंद्रपॉल	candrapôla
चंद्रमा	candramā
चंद्रमाओं	candramāō̃
चंद्रवीर	candravīra
चंद्रशेखर	candraśēkhara
चंद्रा	candrā
चंद्रिका	candrikā
चंद्रू	candrū
चंदा	candā
चंदू	candū
चंदों	candō̃
चंपा	campā
चंपारण	campāraṇa
चक्कर	cakkara
चकनाचूर	cakanācūra
चकमा	cakamā
चक्र	cakra
चक्रवर्ती	cakravartī
चक्रवात	cakravāta
चकाचक	cakācaka
चकाचौंध	cakācaundha
चकित	cakita
चटकाए	caṭakāē
चटकाकर	caṭakākara
चटखारे	caṭakhārē
चटगाँव	caṭagā̃va
चट्टान	caṭṭāna
चट्टानें	caṭṭānē̃
चट्टानों	caṭṭānō̃
चटर्जी	caṭarjī
चटा	caṭā
चटाई	caṭāī
चटाईयां	caṭāīyā̃
चड्ढा	caḍḍhā
चढ़	caṛha
चढ़कर	caṛhakara
चढ़ता	caṛhatā
चढना	caḍhanā
चढ़ना	caṛhanā
चढने	caḍhanē
चढ़ने	caṛhanē
चढ़ा	caṛhā
चढाई	caḍhāī
चढ़ाई	caṛhāī
चढ़ाईयां	caṛhāīyā̃
चढ़ाने	caṛhānē
चढ़ाव	caṛhāva
चढ़ावों	caṛhāvō̃
चढ़े	caṛhē
चतुर	catura
चतुर्वेदी	caturvēdī
चद्रमाओं	cadramāō̃
चन्द्र	candra
चन्द्रकला	candrakalā
चनाब	canāba
चनावों	canāvō̃
चपातियाँ	capātiyā̃
चपातियों	capātiyō̃
चपेट	capēṭa
चबकि	cabaki
चमक	camaka
चमकता	camakatā
चमकधमक	camakadhamaka
चमकना	camakanā
चमके	camakē
चमकेगा	camakēgā
चमड़ी	camaṛī
चमत्कार	camatkāra
चमारू	camārū
चमिंडा	camiṇḍā
चमेली	camēlī
चयन	cayana
चयनित	cayanita
चर्च	carca
चर्चा	carcā
चर्चाओं	carcāō̃
चर्चित	carcita
चर्चिल	carcila
चरण	caraṇa
चरणजीत	caraṇajīta
चरणबद्ध	caraṇabaddha
चरणस्पर्श	caraṇasparśa
चरणों	caraṇō̃
चरबी	carabī
चर्बीयुक्त	carbīyukta
चरम	carama
चरमंपथी	caramampathī
चरमपंथ	caramapantha
चरमपंथियो	caramapanthiyō
चरमपंथियों	caramapanthiyō̃
चरमपंथी	caramapanthī
चरमराते	caramarātē
चरमसुख	caramasukha
चराने	carānē
चरारे	carārē
चरित्र	caritra
चरितार्थ	caritārtha
चल	cala
चलकर	calakara
चलता	calatā
चलती	calatī
चलते	calatē
चलन	calana
चलना	calanā
चलने	calanē
चल्सानी	calsānī
चला	calā
चलाई	calāī
चलाऊँगा	calāū̃gā
चलाए	calāē
चलाएँ	calāē̃
चलाएँगे	calāē̃gē
चलाएगा	calāēgā
चलाता	calātā
चलाती	calātī
चलाते	calātē
चलाना	calānā
चलानी	calānī
चलाने	calānē
चलाबी	calābī
चलाया	calāyā
चलिए	caliē
चली	calī
चले	calē
चलें	calē̃
चलेंगे	calēngē
चलेंगें	calēngē̃
चलेगा	calēgā
चलेगी	calēgī
चलो	calō
चश्मे	caśmē
चहल	cahala
चहेती	cahētī
चहेते	cahētē
चाँद	cā̃da
चाँदनी	cā̃danī
चाँदी	cā̃dī
चाँदों	cā̃dō̃
चांदनी	cāndanī
चाइना	cāinā
चाक	cāka
चाची	cācī
चाट	cāṭa
चादर	cādara
चान	cāna
चानू	cānū
चाबी	cābī
चाय	cāya
चायकाल	cāyakāla
चार	cāra
चार्ज	cārja
चार्टर	cārṭara
चार्ल्स	cārlsa
चारा	cārā
चारित्रिक	cāritrika
चारों	cārō̃
चाल	cāla
चालबाज़ियों	cālabāziyō̃
चालाक	cālāka
चालित	cālita
चालीस	cālīsa
चालू	cālū
चालें	cālē̃
चावला	cāvalā
चाह	cāha
चाहत	cāhata
चाहता	cāhatā
चाहती	cāhatī
चाहतीं	cāhatī̃
चाहते	cāhatē
चाहने	cāhanē
चाहर	cāhara
चाहा	cāhā
चाहिए	cāhiē
चाहिएं	cāhiē̃
चाहिये	cāhiyē
चाहियें	cāhiyē̃
चाही	cāhī
चाहूँगा	cāhū̃gā
चाहूँगी	cāhū̃gī
चाहे	cāhē
चाहें	cāhē̃
चाहेंगी	cāhēngī
चाहेंगे	cāhēngē
चाहेगा	cāhēgā
चिंतक	cintaka
चिंता	cintā
चिंताएँ	cintāē̃
चिंताएं	cintāē̃
चिंताओं	cintāō̃
चिंताजनक	cintājanaka
चिंतित	cintita
चिंदबरम	cindabarama
चिकना	cikanā
चिकित्सा	cikitsā
चिकित्साकर्मी	cikitsākarmī
चिकित्सीय	cikitsīya
चिट्ठियाँ	ciṭṭhiyā̃
चिट्ठी	ciṭṭhī
चिटणीस	ciṭaṇīsa
चिटी	ciṭī
चिड़िया	ciṛiyā
चिड़ियाघरों	ciṛiyāgharō̃
चिड़ियों	ciṛiyō̃
चिढ़	ciṛha
चित्त	citta
चित्र	citra
चित्रकार	citrakāra
चित्रकारों	citrakārō̃
चित्रण	citraṇa
चित्रा	citrā
चित्रित	citrita
चित्रों	citrō̃
चिताएँ	citāē̃
चिताले	citālē
चिदंबरम	cidambarama
चिन्ह	cinha
चिन्हों	cinhō̃
चिप	cipa
चिपकेगा	cipakēgā
चिपों	cipō̃
चिम्पांज़ी	cimpā̃zī
चिराग	cirāga
चिराग़	cirāġ
चिल्टन	cilṭana
चिल्ड्रेन	cilḍrēna
चिल्ड़्रेन	cilṛrēna
चिल्ला	cillā
चिल्लाते	cillātē
चिल्लाने	cillānē
चिली	cilī
चिश्ती	ciśtī
चिह्नों	cihnō̃
ची	cī
चीख	cīkha
चीखने	cīkhanē
चीज	cīja
चीज़	cīza
चीज़े	cīzē
चीजें	cījē̃
चीज़ें	cīzē̃
चीज़ो	cīzō
चीजों	cījō̃
चीज़ों	cīzō̃
चीन	cīna
चीनी	cīnī
चीफ़	cīfa
चुंबक	cumbaka
चुंबन	cumbana
चुक	cuka
चुकता	cukatā
चुका	cukā
चुकाती	cukātī
चुकाने	cukānē
चुकाया	cukāyā
चुकी	cukī
चुकीं	cukī̃
चुके	cukē
चुग़ताई	cuġtāī
चुटकी	cuṭakī
चुटकुला	cuṭakulā
चुटकुले	cuṭakulē
चुन	cuna
चुनकर	cunakara
चुनती	cunatī
चुनते	cunatē
चुनना	cunanā
चुनने	cunanē
चुनरी	cunarī
चुना	cunā
चुनाव	cunāva
चुनावः	cunāvaḥ
चुनावी	cunāvī
चुनावों	cunāvō̃
चुनिंदा	cunindā
चुनिए	cuniē
चुनी	cunī
चुने	cunē
चुनें	cunē̃
चुनौतियाँ	cunautiyā̃
चुनौतियों	cunautiyō̃
चुनौती	cunautī
चुप	cupa
चुपचाप	cupacāpa
चुप्पी	cuppī
चुभनी	cubhanī
चुभाने	cubhānē
चुरयुमोफ़	curayumōfa
चुरा	curā
चुराए	curāē
चुल्लू	cullū
चुस्त	custa
चुस्ती	custī
चूँकि	cū̃ki
चूंकि	cūnki
चूक	cūka
चूकते	cūkatē
चूकने	cūkanē
चूकि	cūki
चूना	cūnā
चूने	cūnē
चूर	cūra
चूहा	cūhā
चूहे	cūhē
चूहों	cūhō̃
चेक	cēka
चेक़	cēqa
चेचन	cēcana
चेचन्या	cēcanyā
चेतक	cētaka
चेतन	cētana
चेतना	cētanā
चेतानवी	cētānavī
चेतावनी	cētāvanī
चेन्नई	cēnnaī
चेनी	cēnī
चेयरमैन	cēyaramaina
चेरिसे	cērisē
चेल्सी	cēlsī
चेष्टा	cēṣṭā
चेहरा	cēharā
चेहरे	cēharē
चेहरो	cēharō
चेहरों	cēharō̃
चैंपियंस	caimpiyaṁsa
चैंपियन	caimpiyana
चैंपियनशिप	caimpiyanaśipa
चैंपियन्स	caimpiyansa
चैक	caika
चैट	caiṭa
चैतन्य	caitanya
चैन	caina
चैनल	cainala
चैनलों	cainalō̃
चैनानी	cainānī
चैनेल	cainēla
चैम्पियंस	caimpiyaṁsa
चैम्पियन	caimpiyana
चैरिटी	cairiṭī
चैरिटीज़	cairiṭīza
चैलेंज	cailēñja
चॉकलेट	côkalēṭa
चोगा	cōgā
चोट	cōṭa
चोटियों	cōṭiyō̃
चोटिल	cōṭila
चोटी	cōṭī
चोटें	cōṭē̃
चोपड़ा	cōpaṛā
चोर	cōra
चोरी	cōrī
चोरों	cōrō̃
चोली	cōlī
चौंका	caunkā
चौंकाते	caunkātē
चौंकाने	caunkānē
चौंकाया	caunkāyā
चौंकिए	caunkiē
चौंकी	caunkī
चौंसठ	caũsaṭha
चौक	cauka
चौकन्ने	caukannē
चौकसी	caukasī
चौकियाँ	caukiyā̃
चौकियों	caukiyō̃
चौकी	caukī
चौकीदारों	caukīdārō̃
चौके	caukē
चौड़ा	cauṛā
चौड़ाई	cauṛāī
चौड़ी	cauṛī
चौड़े	cauṛē
चौड़ेव	cauṛēva
चौथा	cauthā
चौथाई	cauthāī
चौथी	cauthī
चौथे	cauthē
चौदह	caudaha
चौधरी	caudharī
चौपट	caupaṭa
चौबंद	caubanda
चौबीस	caubīsa
चौबीसों	caubīsō̃
चौबे	caubē
चौलदारी	cauladārī
चौसर	causara
चौहान	cauhāna
छँटाई	cham̐ṭāī
छंद	chanda
छंदबद्ध	chandabaddha
छक्का	chakkā
छक्के	chakkē
छक्कों	chakkō̃
छका	chakā
छकाते	chakātē
छज्जा	chajjā
छटपटाने	chaṭapaṭānē
छटा	chaṭā
छठा	chaṭhā
छठी	chaṭhī
छठे	chaṭhē
छड़ें	chaṛē̃
छत्तीसगढ़	chattīsagaṛha
छतरी	chatarī
छतों	chatō̃
छदम	chadama
छनती	chanatī
छपती	chapatī
छपरा	chaparā
छपा	chapā
छपी	chapī
छपे	chapē
छपेगी	chapēgī
छय्यां	chayyā̃
छलकते	chalakatē
छल्ले	challē
छवि	chavi
छह	chaha
छा	chā
छाई	chāī
छाए	chāē
छाड़	chāṛa
छात्र	chātra
छात्रा	chātrā
छात्रों	chātrō̃
छाती	chātī
छानबीन	chānabīna
छाप	chāpa
छापा	chāpā
छापामार	chāpāmāra
छापी	chāpī
छापीं	chāpī̃
छापे	chāpē
छापें	chāpē̃
छापों	chāpō̃
छाया	chāyā
छायाकार	chāyākāra
छिटपुट	chiṭapuṭa
छिड़	chiṛa
छिड़की	chiṛakī
छिड़ा	chiṛā
छिद्र	chidra
छिद्रों	chidrō̃
छिन	china
छिपकलियों	chipakaliyō̃
छिपा	chipā
छिपाकर	chipākara
छिपाती	chipātī
छिपे	chipē
छींटाकशी	chīṇṭākaśī
छीछा	chīchā
छीटाकशी	chīṭākaśī
छीन	chīna
छीनना	chīnanā
छीने	chīnē
छीनें	chīnē̃
छुआ	chuā
छुए	chuē
छुएँ	chuē̃
छुएगा	chuēgā
छुटकारा	chuṭakārā
छुट्टियाँ	chuṭṭiyā̃
छुट्टी	chuṭṭī
छुटभैये	chuṭabhaiyē
छुड़वा	chuṛavā
छुड़ा	chuṛā
छुड़ाने	chuṛānē
छुप	chupa
छुपाते	chupātē
छुपाने	chupānē
छुपाया	chupāyā
छुपी	chupī
छुपे	chupē
छूकर	chūkara
छूट	chūṭa
छूटते	chūṭatē
छूटने	chūṭanē
छूटा	chūṭā
छूटी	chūṭī
छूटीं	chūṭī̃
छूटे	chūṭē
छूते	chūtē
छूने	chūnē
छूह	chūha
छेड़	chēṛa
छेड़छाड़	chēṛachāṛa
छेड़ना	chēṛanā
छेत्री	chētrī
छेद	chēda
छोटा	chōṭā
छोटी	chōṭī
छोटे	chōṭē
छोड़	chōṛa
छोड़कर	chōṛakara
छोड़ता	chōṛatā
